gene,num_isoforms,top_predicted_isoforms,avg_pred_total,avg_true_total
UBE2D3P3,1,ENST00000426992,1.1482222080230713,39.56666564941406
RNA5SP109,1,ENST00000391010,1.1480470895767212,2.9833333492279053
RPL5P6,1,ENST00000425640,1.1480215787887573,5.976666450500488
FREM2-AS1,1,ENST00000448887,1.148014783859253,1.996666669845581
HNRNPA1P74,1,ENST00000560782,1.1479655504226685,3.816666603088379
ENSG00000268049,1,ENST00000599952,1.1478769779205322,2.9633333683013916
ENSG00000261472,1,ENST00000569938,1.147826075553894,3.509999990463257
ENSG00000249019,1,ENST00000513977,1.147698163986206,2.4033334255218506
ENSG00000271329,1,ENST00000603887,1.1476716995239258,2.0833332538604736
WDR82P1,1,ENST00000439836,1.147335171699524,7.926666736602783
ENSG00000225279,2,"ENST00000435580, ENST00000662080",1.1470718383789062,6.493333339691162
SCARNA10,1,ENST00000459255,1.1468708515167236,4.78000020980835
RNU1-44P,1,ENST00000384453,1.1466209888458252,5.050000190734863
ENSG00000289294,1,ENST00000685457,1.1464598178863525,1.9299999475479126
ENSG00000233096,1,ENST00000453828,1.1463695764541626,4.110000133514404
ENSG00000288717,1,ENST00000683405,1.1463557481765747,36.003334045410156
ENSG00000272745,1,ENST00000609858,1.1459959745407104,5.0966668128967285
PRAC2,2,"ENST00000432056, ENST00000422730",1.1458849906921387,5.613333702087402
PHB1P20,1,ENST00000603694,1.1452434062957764,15.633333206176758
TMEM139-AS1,2,"ENST00000427392, ENST00000446192",1.1452012062072754,3.8866665363311768
ENSG00000273816,1,ENST00000614522,1.1450562477111816,3.3399999141693115
LRRC57P1,1,ENST00000417035,1.144863247871399,10.813335418701172
RNF103,4,"ENST00000463333, ENST00000472030, ENST00000237455",1.1445001363754272,7.679999828338623
ENSG00000285062,1,ENST00000645329,1.1443614959716797,3.133333444595337
VWCE,3,"ENST00000538438, ENST00000535710, ENST00000398808",1.1440234184265137,8.180001258850098
ENSG00000215835,1,ENST00000400979,1.143896460533142,2.806666612625122
TSEN15P3,1,ENST00000422363,1.1436303853988647,4.193333148956299
IRF2-DT,1,ENST00000605834,1.1434694528579712,2.819999933242798
RN7SL310P,1,ENST00000465317,1.1431999206542969,1.600000023841858
PPIAP35,1,ENST00000411837,1.1430507898330688,2.6600000858306885
RPL41P1,1,ENST00000484902,1.142860770225525,2.806666612625122
MIR218-2,1,ENST00000385006,1.142826795578003,3.7933332920074463
SPANXB1,1,ENST00000449283,1.1428191661834717,18.816667556762695
LINC02435,1,ENST00000508291,1.1426807641983032,3.3600003719329834
ENSG00000288573,2,"ENST00000412378, ENST00000445226",1.1425511837005615,4.490000247955322
PNMA8B,2,"ENST00000594749, ENST00000599531",1.142368197441101,2.4700000286102295
EEF1GP2,1,ENST00000509352,1.1420232057571411,8.206666946411133
RNU6-1016P,1,ENST00000516689,1.1419486999511719,2.740000009536743
ENSG00000225330,1,ENST00000416555,1.1419070959091187,5.059999942779541
ENSG00000286907,2,"ENST00000653601, ENST00000667437",1.1412272453308105,7.023333549499512
ENSG00000228922,1,ENST00000445718,1.141107201576233,14.109999656677246
ZNF728,2,"ENST00000599851, ENST00000594710",1.1409913301467896,4.353333473205566
MAGEA4-AS1,2,"ENST00000424126, ENST00000411474",1.1406058073043823,5.033332824707031
ENSG00000273399,1,ENST00000608871,1.140365481376648,6.340000152587891
ESX1,1,ENST00000372588,1.1402397155761719,4.0933332443237305
CCDC144NL,5,"ENST00000647562, ENST00000539484, ENST00000700843",1.1400296688079834,6.936666965484619
ENSG00000271454,1,ENST00000605859,1.1397910118103027,2.113333225250244
MOCS2,2,"ENST00000514553, ENST00000361377",1.1396523714065552,4.756666660308838
ENSG00000287023,2,"ENST00000670284, ENST00000701197",1.1396394968032837,3.4566664695739746
B4GALNT2P1,1,ENST00000508857,1.1395602226257324,7.993333339691162
ENSG00000270542,1,ENST00000605264,1.139542818069458,4.71999979019165
IL3RA,2,"ENST00000331035, ENST00000432757",1.1394925117492676,17.710002899169922
EVPLL,2,"ENST00000399134, ENST00000583003",1.1391725540161133,3.253333330154419
FTLP3,1,ENST00000427242,1.1382721662521362,3.1500000953674316
OR2L8,1,ENST00000623922,1.138100266456604,2.116666555404663
ENSG00000276206,1,ENST00000619693,1.1377575397491455,13.563333511352539
ENSG00000262160,1,ENST00000571197,1.1377551555633545,12.539999961853027
ENSG00000283156,1,ENST00000635939,1.1376733779907227,2.1566667556762695
SIRT4,1,ENST00000536460,1.1373331546783447,86.87999725341797
TNFSF12-TNFSF13,1,ENST00000293826,1.1373100280761719,4.516666889190674
ENSG00000248824,1,ENST00000508073,1.1366647481918335,42.276668548583984
RTL6,1,ENST00000341255,1.1363391876220703,1.8533333539962769
ENSG00000274541,1,ENST00000620852,1.136262059211731,7.836666584014893
ENSG00000288586,1,ENST00000673624,1.136189579963684,17.170000076293945
ZBTB11-AS1,1,ENST00000609682,1.136175274848938,19.206668853759766
ENSG00000266709,1,ENST00000583262,1.1359949111938477,1.2133333683013916
OR52P2P,1,ENST00000527287,1.1358380317687988,2.253333330154419
ENSG00000278104,1,ENST00000610339,1.135496735572815,30.979999542236328
RN7SL539P,1,ENST00000610974,1.1354581117630005,4.119999885559082
ENSG00000287674,1,ENST00000668507,1.1348212957382202,1.90666663646698
PLPP3,2,"ENST00000459962, ENST00000371250",1.134711503982544,1.7233333587646484
UNC93B2,1,ENST00000285383,1.1344434022903442,5.336666584014893
TRIM7,2,"ENST00000509199, ENST00000274773",1.1343989372253418,15.226666450500488
BORCS5,3,"ENST00000543990, ENST00000314565, ENST00000542728",1.1342735290527344,3.136666774749756
ENSG00000255483,1,ENST00000532684,1.1340869665145874,4.366666793823242
ENSG00000217746,1,ENST00000405326,1.1338226795196533,4.446666717529297
ENSG00000282386,1,ENST00000633140,1.133768081665039,2.6533334255218506
ENSG00000272840,1,ENST00000610060,1.1333657503128052,6.493333339691162
MIR5739,1,ENST00000619803,1.1331801414489746,5.073333263397217
ENSG00000274970,1,ENST00000619978,1.13309907913208,2.116666555404663
KRT3,1,ENST00000417996,1.1330541372299194,22.540000915527344
GPA33,2,"ENST00000534512, ENST00000367868",1.1328034400939941,4.389999866485596
ENSG00000259166,1,ENST00000553318,1.1322814226150513,5.836667060852051
ZNF209P,1,ENST00000593450,1.1322640180587769,8.296667098999023
ENSG00000233626,1,ENST00000416056,1.1321918964385986,8.220001220703125
ENSG00000227197,1,ENST00000453078,1.1321662664413452,9.479999542236328
RNA5SP188,1,ENST00000362916,1.1321296691894531,3.0299999713897705
ENSG00000272157,1,ENST00000607735,1.1319999694824219,13.380001068115234
SLC7A1,1,ENST00000473577,1.131301999092102,4.0333333015441895
MIR6856,1,ENST00000613330,1.1312941312789917,3.626666784286499
ENSG00000237101,1,ENST00000420350,1.1301751136779785,5.256666660308838
FGF7P6,2,"ENST00000377614, ENST00000451282",1.1300784349441528,4.306666374206543
RN7SL220P,1,ENST00000581978,1.1292527914047241,2.323333263397217
ENSG00000286953,1,ENST00000659033,1.1290276050567627,3.1666667461395264
ENSG00000263435,1,ENST00000582685,1.1279664039611816,3.5966665744781494
PARG,1,ENST00000611974,1.1279327869415283,7.190001010894775
RNU6-1222P,1,ENST00000384615,1.1278120279312134,3.4566667079925537
ENSG00000286900,1,ENST00000668606,1.1275689601898193,2.613333225250244
CARTPT,1,ENST00000513096,1.1273983716964722,17.3799991607666
ENSG00000235637,1,ENST00000442231,1.1271761655807495,16.4233341217041
ENSG00000234813,1,ENST00000441557,1.1268213987350464,2.193333387374878
ENSG00000255723,1,ENST00000508163,1.1265679597854614,2.6533334255218506
H3P18,1,ENST00000510266,1.1265454292297363,1.5233333110809326
MIR6499,1,ENST00000621322,1.1260257959365845,4.78000020980835
ENSG00000265749,3,"ENST00000579904, ENST00000666354, ENST00000583963",1.1255794763565063,8.440000534057617
ENSG00000259093,1,ENST00000654636,1.125230073928833,3.2166666984558105
RN7SL216P,1,ENST00000471607,1.1248692274093628,1.6966667175292969
RNU6-1131P,1,ENST00000364955,1.1248424053192139,5.769999980926514
ENSG00000261193,1,ENST00000568267,1.1247667074203491,4.62333345413208
TTC9,1,ENST00000256367,1.124722957611084,2.6600000858306885
LINC01741,2,"ENST00000670282, ENST00000654430",1.1246551275253296,1.7866666316986084
C4orf51,1,ENST00000508981,1.1246452331542969,1.4333332777023315
GPD2,2,"ENST00000438166, ENST00000409861",1.124426007270813,3.1399998664855957
MTND1P14,1,ENST00000427400,1.124406337738037,6.280000686645508
CRIP1P3,1,ENST00000416794,1.1241048574447632,8.569999694824219
ENSG00000273026,1,ENST00000608147,1.1240404844284058,2.366666555404663
ENSG00000231762,1,ENST00000440811,1.1238887310028076,5.206666469573975
ENSG00000258663,1,ENST00000554041,1.12344491481781,24.149999618530273
MRGPRX10P,1,ENST00000527463,1.1233303546905518,3.609999895095825
RPL35P2,1,ENST00000402419,1.1230950355529785,4.416666507720947
ZBED1P1,1,ENST00000502364,1.1230134963989258,1.7266666889190674
ENSG00000242590,1,ENST00000418300,1.1229342222213745,22.14000129699707
ENSG00000218173,1,ENST00000406305,1.1226742267608643,12.520000457763672
ENSG00000250583,1,ENST00000511579,1.1219455003738403,3.5433332920074463
ENSG00000258558,1,ENST00000554665,1.1217565536499023,38.8466682434082
TAF5LP1,1,ENST00000587542,1.1217564344406128,4.573333263397217
ENSG00000228923,1,ENST00000432032,1.121637225151062,10.890000343322754
ENSG00000259460,1,ENST00000559509,1.1215338706970215,4.423333644866943
ENSG00000256658,1,ENST00000542291,1.1213628053665161,1.7699999809265137
LILRA4,3,"ENST00000595581, ENST00000421056, ENST00000291759",1.1213041543960571,47.36332321166992
ENSG00000267062,1,ENST00000585496,1.12099289894104,2.0466666221618652
GPALPP1,1,ENST00000473119,1.1208215951919556,2.7966666221618652
ENSG00000264880,1,ENST00000581690,1.120173692703247,4.223333358764648
RPL5P35,1,ENST00000398869,1.1198906898498535,3.876666784286499
TWF1P2,1,ENST00000426370,1.1198095083236694,9.633333206176758
IL6ST-DT,2,"ENST00000500093, ENST00000686866",1.1197463274002075,6.326666831970215
ENSG00000284604,1,ENST00000641806,1.1196106672286987,10.720000267028809
GOLGA5P1,1,ENST00000507317,1.1193143129348755,1.2999999523162842
WDR43,2,"ENST00000407426, ENST00000440983",1.119117259979248,2.566666603088379
MTND4P1,1,ENST00000457501,1.118906855583191,5.163333415985107
ENSG00000236531,1,ENST00000424888,1.118436336517334,4.166666507720947
CCL18,2,"ENST00000616054, ENST00000616474",1.1182827949523926,3.2799999713897705
OR3A3,1,ENST00000574571,1.1178773641586304,7.1533331871032715
NKX1-2,1,ENST00000451024,1.1176795959472656,3.996666669845581
LINC01991,2,"ENST00000423643, ENST00000446091",1.1171486377716064,7.436667442321777
GPR22,2,"ENST00000473300, ENST00000496754",1.1166406869888306,3.5233333110809326
RNA5SP235,1,ENST00000365411,1.116236686706543,15.59333324432373
SETP2,1,ENST00000553886,1.1160982847213745,3.3399999141693115
ABHD14B,2,"ENST00000473912, ENST00000461108",1.115939974784851,3.996666669845581
RHBDF1P1,1,ENST00000427504,1.1158430576324463,1.9299999475479126
RPL5P20,1,ENST00000403848,1.1157567501068115,2.696666717529297
H3C5P,1,ENST00000611953,1.1156258583068848,3.4600000381469727
RPS29P28,1,ENST00000446439,1.1155840158462524,6.519999980926514
ENSG00000288816,1,ENST00000684850,1.1152065992355347,2.1466665267944336
ENSG00000286795,1,ENST00000656662,1.1138331890106201,1.3366667032241821
